x (m),y (m),z (m),pressure (Pa)
  2.941, -0.588,-10.000,  102975
  2.941,  0.000,-10.000,  102965
  2.941,  0.588,-10.000,  102975
  2.941,  1.176,-10.000,  103006
  2.941,  1.765,-10.000,  103059
  2.941,  2.353,-10.000,  103138
  2.941,  2.941,-10.000,  103251
  3.529, -2.353,-10.000,  103234
  3.529, -1.765,-10.000,  103144
  3.529, -1.176,-10.000,  103084
  3.529, -0.588,-10.000,  103050
  3.529,  0.000,-10.000,  103039
  3.529,  0.588,-10.000,  103050
  3.529,  1.176,-10.000,  103084
  3.529,  1.765,-10.000,  103144
  3.529,  2.353,-10.000,  103234
  4.020, -1.667,-10.000,  103229
  4.118, -1.176,-10.000,  103196
  4.118, -0.588,-10.000,  103156
  4.118,  0.000,-10.000,  103143
  4.118,  0.588,-10.000,  103156
  4.118,  1.176,-10.000,  103196
  4.020,  1.667,-10.000,  103229
 -4.195, -2.291,-10.000,  103392
 -4.272, -2.142,-10.000,  103384
 -4.537, -1.794,-10.000,  103409
 -4.109, -2.634,-10.000,  103455
 -3.647, -2.815,-10.000,  103365
 -3.610, -3.245,-10.000,  103486
 -3.989, -2.408,-10.000,  103356
 -3.915, -2.915,-10.000,  103473
 -4.016, -2.777,-10.000,  103462
 -3.495, -3.373,-10.000,  103499
 -4.262, -1.866,-10.000,  103327
 -4.782, -0.474,-10.000,  103342
 -4.796, -0.322,-10.000,  103341
 -4.802, -0.172,-10.000,  103340
 -4.761, -0.824,-10.000,  103358
 -4.651, -1.485,-10.000,  103397
 -4.598, -1.640,-10.000,  103404
 -4.695, -1.330,-10.000,  103392
 -4.592, -0.618,-10.000,  103284
 -4.564, -1.165,-10.000,  103322
 -4.732, -0.978,-10.000,  103361
 -4.608,  0.000,-10.000,  103272
 -1.640, -4.598,-10.000,  103630
 -2.142, -4.272,-10.000,  103549
 -1.794, -4.537,-10.000,  103621
 -1.866, -4.262,-10.000,  103502
 -1.485, -4.651,-10.000,  103637
 -0.824, -4.761,-10.000,  103625
 -0.474, -4.782,-10.000,  103617
 -0.978, -4.732,-10.000,  103623
 -1.165, -4.564,-10.000,  103555
 -1.330, -4.695,-10.000,  103639
 -0.322, -4.796,-10.000,  103619
 -3.011, -3.451,-10.000,  103403
 -2.915, -3.915,-10.000,  103556
 -3.451, -3.011,-10.000,  103370
 -3.245, -3.610,-10.000,  103517
 -3.373, -3.495,-10.000,  103507
 -2.777, -4.016,-10.000,  103568
 -2.291, -4.195,-10.000,  103542
 -0.618, -4.592,-10.000,  103531
 -2.408, -3.989,-10.000,  103477
 -2.815, -3.647,-10.000,  103428
 -2.634, -4.109,-10.000,  103574
 -4.782,  0.474,-10.000,  103342
 -4.732,  0.978,-10.000,  103361
 -4.761,  0.824,-10.000,  103358
 -4.796,  0.322,-10.000,  103341
 -4.564,  1.165,-10.000,  103322
 -4.592,  0.618,-10.000,  103284
 -4.695,  1.330,-10.000,  103392
 -4.598,  1.640,-10.000,  103404
 -4.651,  1.485,-10.000,  103397
 -4.537,  1.794,-10.000,  103409
 -4.802,  0.172,-10.000,  103340
 -4.195,  2.291,-10.000,  103392
 -4.016,  2.777,-10.000,  103462
 -4.109,  2.634,-10.000,  103455
 -4.272,  2.142,-10.000,  103384
 -3.915,  2.915,-10.000,  103473
 -3.989,  2.408,-10.000,  103356
 -3.647,  2.815,-10.000,  103365
 -3.610,  3.245,-10.000,  103486
 -3.495,  3.373,-10.000,  103499
 -3.373,  3.495,-10.000,  103507
 -4.262,  1.866,-10.000,  103327
 -3.451,  3.011,-10.000,  103370
 -3.011,  3.451,-10.000,  103403
 -2.915,  3.915,-10.000,  103556
 -2.777,  4.016,-10.000,  103568
 -3.245,  3.610,-10.000,  103517
 -2.408,  3.989,-10.000,  103477
 -2.815,  3.647,-10.000,  103428
 -2.291,  4.195,-10.000,  103542
 -1.165,  4.564,-10.000,  103555
 -1.866,  4.262,-10.000,  103502
 -2.634,  4.109,-10.000,  103574
 -1.640,  4.598,-10.000,  103630
 -1.794,  4.537,-10.000,  103621
 -1.330,  4.695,-10.000,  103639
 -1.485,  4.651,-10.000,  103637
 -2.142,  4.272,-10.000,  103549
 -0.824,  4.761,-10.000,  103625
 -0.978,  4.732,-10.000,  103623
 -0.474,  4.782,-10.000,  103617
 -0.322,  4.796,-10.000,  103619
 -0.172,  4.802,-10.000,  103619
  0.000,  4.608,-10.000,  103523
 -0.618,  4.592,-10.000,  103531
 -0.172, -4.802,-10.000,  103619
  0.172, -4.802,-10.000,  103619
  0.474, -4.782,-10.000,  103616
  0.322, -4.796,-10.000,  103618
  0.824, -4.761,-10.000,  103624
  1.330, -4.695,-10.000,  103638
  1.485, -4.651,-10.000,  103636
  1.794, -4.537,-10.000,  103619
  1.640, -4.598,-10.000,  103629
  0.978, -4.732,-10.000,  103622
  2.142, -4.272,-10.000,  103547
  0.618, -4.592,-10.000,  103530
  1.866, -4.262,-10.000,  103501
  2.291, -4.195,-10.000,  103540
  2.408, -3.989,-10.000,  103475
  1.165, -4.564,-10.000,  103554
  2.777, -4.016,-10.000,  103566
  2.915, -3.915,-10.000,  103553
  2.815, -3.647,-10.000,  103426
  3.011, -3.451,-10.000,  103400
  3.245, -3.610,-10.000,  103514
  2.634, -4.109,-10.000,  103572
  3.495, -3.373,-10.000,  103495
  3.647, -2.815,-10.000,  103361
  3.610, -3.245,-10.000,  103482
  3.451, -3.011,-10.000,  103366
  3.373, -3.495,-10.000,  103504
  4.016, -2.777,-10.000,  103459
  4.109, -2.634,-10.000,  103451
  4.195, -2.291,-10.000,  103388
  3.989, -2.408,-10.000,  103353
  3.915, -2.915,-10.000,  103469
  4.272, -2.142,-10.000,  103380
  4.262, -1.866,-10.000,  103323
  4.537, -1.794,-10.000,  103405
  4.598, -1.640,-10.000,  103399
  4.564, -1.165,-10.000,  103317
  4.592, -0.618,-10.000,  103280
  4.651, -1.485,-10.000,  103393
  4.732, -0.978,-10.000,  103357
  4.761, -0.824,-10.000,  103353
  4.796, -0.322,-10.000,  103337
  4.782, -0.474,-10.000,  103337
  4.695, -1.330,-10.000,  103388
  4.802, -0.172,-10.000,  103335
  2.408,  3.989,-10.000,  103475
  2.291,  4.195,-10.000,  103540
  0.618,  4.592,-10.000,  103530
  3.011,  3.451,-10.000,  103400
  3.451,  3.011,-10.000,  103366
  2.815,  3.647,-10.000,  103426
  2.777,  4.016,-10.000,  103566
  2.915,  3.915,-10.000,  103553
  3.245,  3.610,-10.000,  103514
  2.634,  4.109,-10.000,  103572
  0.978,  4.732,-10.000,  103622
  0.474,  4.782,-10.000,  103616
  0.824,  4.761,-10.000,  103624
  0.322,  4.796,-10.000,  103618
  1.866,  4.262,-10.000,  103501
  2.142,  4.272,-10.000,  103547
  1.794,  4.537,-10.000,  103619
  1.485,  4.651,-10.000,  103636
  1.640,  4.598,-10.000,  103629
  1.330,  4.695,-10.000,  103638
  1.165,  4.564,-10.000,  103554
  0.172,  4.802,-10.000,  103619
  4.564,  1.165,-10.000,  103317
  4.651,  1.485,-10.000,  103393
  4.695,  1.330,-10.000,  103388
  4.598,  1.640,-10.000,  103399
  4.592,  0.618,-10.000,  103280
  4.796,  0.322,-10.000,  103337
  4.782,  0.474,-10.000,  103337
  4.732,  0.978,-10.000,  103357
  4.761,  0.824,-10.000,  103353
  4.802,  0.172,-10.000,  103335
  4.608,  0.000,-10.000,  103267
  3.915,  2.915,-10.000,  103469
  3.989,  2.408,-10.000,  103353
  3.610,  3.245,-10.000,  103482
  3.647,  2.815,-10.000,  103361
  3.373,  3.495,-10.000,  103504
  3.495,  3.373,-10.000,  103495
  4.272,  2.142,-10.000,  103380
  4.195,  2.291,-10.000,  103388
  4.016,  2.777,-10.000,  103459
  4.109,  2.634,-10.000,  103451
  4.262,  1.866,-10.000,  103323
  4.537,  1.794,-10.000,  103405
  0.000, -4.608,-10.000,  103523
  4.988, -0.245, -0.882,   14207
  4.988, -0.245, -1.471,   19927
  4.988, -0.245, -2.059,   25658
  4.988, -0.245, -2.647,   31399
  4.988, -0.245, -3.235,   37149
  4.988, -0.245, -3.824,   42908
  4.988, -0.245, -4.412,   48674
  4.988, -0.245, -5.000,   54448
  4.988, -0.245, -5.588,   60228
  4.988, -0.245, -6.176,   66014
  4.988, -0.245, -6.765,   71804
  4.988, -0.245, -7.353,   77598
  4.988, -0.245, -7.941,   83393
  4.988, -0.245, -8.529,   89188
  4.988, -0.245, -9.118,   94975
  4.988, -0.245, -9.706,  100741
  4.940, -0.733, -0.882,   14234
  4.940, -0.733, -1.471,   19952
  4.940, -0.733, -2.059,   25681
  4.940, -0.733, -2.647,   31421
  4.940, -0.733, -3.235,   37169
  4.940, -0.733, -3.824,   42927
  4.940, -0.733, -4.412,   48692
  4.940, -0.733, -5.000,   54465
  4.940, -0.733, -5.588,   60244
  4.940, -0.733, -6.176,   66028
  4.940, -0.733, -6.765,   71818
  4.940, -0.733, -7.353,   77610
  4.940, -0.733, -7.941,   83405
  4.940, -0.733, -8.529,   89198
  4.940, -0.733, -9.118,   94985
  4.940, -0.733, -9.706,  100749
  4.844, -1.213, -0.882,   14286
  4.844, -1.213, -1.471,   20001
  4.844, -1.213, -2.059,   25727
  4.844, -1.213, -2.647,   31463
  4.844, -1.213, -3.235,   37209
  4.844, -1.213, -3.824,   42964
  4.844, -1.213, -4.412,   48727
  4.844, -1.213, -5.000,   54497
  4.844, -1.213, -5.588,   60274
  4.844, -1.213, -6.176,   66057
  4.844, -1.213, -6.765,   71844
