Nb de periode :     5
 0.5236
  0.697545E+05  0.101147E-01 -0.324873E+00 -0.232133E+00 -0.408773E+05 -0.116229E-05
 -0.613604E-01  0.697544E+05 -0.316509E+01  0.408774E+05 -0.621060E-01  0.183929E-04
  0.607300E-02  0.133991E-01  0.247128E+06 -0.604215E-01  0.153366E+00  0.414756E-02
 -0.305101E+00  0.530772E+05 -0.944280E+01  0.311101E+05 -0.261149E+00 -0.294682E-05
 -0.530774E+05  0.918293E-01  0.315569E-01  0.418362E+00  0.311093E+05  0.131130E-05
 -0.650844E-06 -0.305263E-06  0.444667E-02  0.134694E-05  0.320551E-05  0.283555E-06
 0.5890
  0.137504E+06  0.675354E-01  0.646394E+00 -0.142799E+00 -0.839980E+05  0.231341E-05
 -0.439930E-01  0.137504E+06 -0.176362E+01  0.839979E+05 -0.119964E+00  0.324450E-05
  0.176086E-01  0.323143E-01  0.264218E+06  0.168348E+00  0.820999E-01  0.477934E-02
 -0.152415E+00  0.106478E+06 -0.989658E+01  0.648367E+05 -0.483671E+00 -0.260398E-05
 -0.106479E+06 -0.222909E+00 -0.165719E+01  0.653733E+00  0.648364E+05 -0.265241E-05
 -0.945836E-06  0.864432E-06  0.513379E-02  0.419054E-05 -0.489284E-05  0.464927E-06
 0.6545
  0.262007E+06  0.512428E-01  0.983031E+00 -0.206183E+00 -0.166339E+06  0.563264E-05
 -0.114536E-01  0.262006E+06 -0.262845E+00  0.166339E+06 -0.204535E-01 -0.702590E-05
 -0.854492E-02  0.736847E-01  0.275936E+06 -0.738621E-02  0.198364E-01  0.535133E-02
 -0.170719E+00  0.208085E+06 -0.409277E+01  0.131710E+06 -0.265632E+00  0.793906E-05
 -0.208086E+06 -0.240435E+00 -0.490375E+01  0.659904E+00  0.131710E+06 -0.648201E-06
  0.199137E-05  0.449671E-06  0.582520E-02  0.806050E-05  0.264264E-05 -0.414602E-05
 0.7200
  0.464089E+06  0.123249E+00  0.819143E+00 -0.240217E+00 -0.305452E+06  0.195354E-04
 -0.424461E-01  0.464089E+06 -0.332384E+00  0.305452E+06 -0.997547E-01  0.229226E-04
  0.491943E-01  0.138382E+00  0.267229E+06  0.384974E-01  0.500031E-01  0.569825E-02
 -0.364454E+00  0.373733E+06 -0.386130E+01  0.245134E+06 -0.563601E+00 -0.419002E-05
 -0.373734E+06 -0.560661E+00 -0.455115E+01  0.105075E+01  0.245134E+06 -0.698864E-05
 -0.375578E-05  0.161715E-05  0.611463E-02  0.164391E-05 -0.281595E-05 -0.318611E-05
 0.7854
  0.752445E+06  0.171032E+00  0.505551E+00 -0.760393E-01 -0.505832E+06  0.748038E-05
  0.109306E+00  0.752445E+06  0.924474E-01  0.505832E+06 -0.139101E+00 -0.110175E-04
 -0.686646E-01  0.115208E+00  0.248128E+06  0.131390E+00 -0.309868E-01  0.579055E-02
  0.529331E+00  0.610198E+06  0.266004E+01  0.410982E+06 -0.122728E+00  0.126082E-04
 -0.610197E+06 -0.638096E+00 -0.428796E+01 -0.327002E-01  0.410983E+06  0.245869E-05
  0.329597E-05 -0.229038E-04  0.631991E-02 -0.861373E-05 -0.837188E-05 -0.259283E-04
