VARIABLES="Period (s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Diffraction force - beta =   0.000 deg",I=     5,F=POINT
 0.7854  0.171013E+07  0.171013E+07  0.103193E+07  0.114868E+07  0.114868E+07  0.237496E-01   -8.81   -8.81  -74.70   -8.81 -188.81  -74.61
Zone t="Diffraction force - beta =  54.000 deg",I=     5,F=POINT
 0.5236  0.814048E+06  0.112044E+07  0.191706E+07  0.654822E+06  0.475756E+06  0.268806E-01   -1.37   -1.37  -85.75   -1.37 -181.37  -84.90
 0.5890  0.962145E+06  0.132428E+07  0.167624E+07  0.809859E+06  0.588397E+06  0.193187E-01   -2.32   -2.32  -83.90   -2.32 -182.32  -80.44
 0.6545  0.112325E+07  0.154602E+07  0.144461E+07  0.980241E+06  0.712187E+06  0.713346E-02   -3.85   -3.85  -81.38   -3.86 -183.86  -53.85
 0.7200  0.128164E+07  0.176402E+07  0.122784E+07  0.115790E+07  0.841268E+06  0.179577E-01   -6.04   -6.04  -78.37   -6.06 -186.06   73.10
 0.7854  0.142155E+07  0.195660E+07  0.103193E+07  0.131423E+07  0.954846E+06  0.566909E-01   -8.81   -8.81  -74.70   -8.81 -188.81   83.63
Zone t="Diffraction force - beta =  63.000 deg",I=     5,F=POINT
 0.5236  0.628750E+06  0.123399E+07  0.191706E+07  0.721185E+06  0.367462E+06  0.236120E-01   -1.37   -1.37  -85.75   -1.37 -181.37  -84.20
 0.5890  0.743136E+06  0.145849E+07  0.167624E+07  0.891934E+06  0.454463E+06  0.126993E-01   -2.32   -2.32  -83.90   -2.32 -182.32  -75.33
 0.6545  0.867572E+06  0.170271E+07  0.144461E+07  0.107958E+07  0.550075E+06  0.889232E-02   -3.85   -3.85  -81.38   -3.86 -183.86   61.97
 0.7200  0.989904E+06  0.194279E+07  0.122784E+07  0.127525E+07  0.649774E+06  0.437938E-01   -6.04   -6.04  -78.37   -6.06 -186.06   83.11
 0.7854  0.109797E+07  0.215489E+07  0.103193E+07  0.144742E+07  0.737500E+06  0.105604E+00   -8.81   -8.81  -74.70   -8.81 -188.81   86.58
Zone t="Diffraction force - beta =  72.000 deg",I=     5,F=POINT
 0.5236  0.427970E+06  0.131716E+07  0.191706E+07  0.769789E+06  0.250119E+06  0.236082E-01   -1.37   -1.37  -85.75   -1.37 -181.37  -84.23
 0.5890  0.505830E+06  0.155678E+07  0.167624E+07  0.952046E+06  0.309339E+06  0.127038E-01   -2.32   -2.32  -83.90   -2.32 -182.32  -75.30
 0.6545  0.590529E+06  0.181746E+07  0.144461E+07  0.115234E+07  0.374419E+06  0.887138E-02   -3.85   -3.85  -81.38   -3.86 -183.86   61.65
 0.7200  0.673796E+06  0.207373E+07  0.122784E+07  0.136120E+07  0.442281E+06  0.438062E-01   -6.04   -6.04  -78.37   -6.06 -186.06   83.09
 0.7854  0.747355E+06  0.230012E+07  0.103193E+07  0.154497E+07  0.501993E+06  0.105670E+00   -8.81   -8.81  -74.70   -8.81 -188.81   86.57
Zone t="Diffraction force - beta =  81.000 deg",I=     5,F=POINT
 0.5236  0.216652E+06  0.136789E+07  0.191706E+07  0.799440E+06  0.126618E+06  0.268589E-01   -1.37   -1.37  -85.75   -1.37 -181.37  -84.92
 0.5890  0.256067E+06  0.161675E+07  0.167624E+07  0.988716E+06  0.156597E+06  0.192549E-01   -2.32   -2.32  -83.90   -2.32 -182.32  -80.44
 0.6545  0.298945E+06  0.188746E+07  0.144461E+07  0.119673E+07  0.189543E+06  0.707286E-02   -3.85   -3.85  -81.38   -3.86 -183.86  -53.78
 0.7200  0.341097E+06  0.215360E+07  0.122784E+07  0.141363E+07  0.223897E+06  0.180197E-01   -6.04   -6.04  -78.37   -6.06 -186.06   72.99
 0.7854  0.378336E+06  0.238872E+07  0.103193E+07  0.160448E+07  0.254125E+06  0.567716E-01   -8.81   -8.81  -74.70   -8.81 -188.81   83.65
Zone t="Diffraction force - beta =  90.000 deg",I=     5,F=POINT
 0.5236  0.373991E+00  0.138494E+07  0.191706E+07  0.809404E+06  0.102357E+01  0.321252E-01 -180.80   -1.37  -85.75   -1.37  -71.53  -85.73
 0.5890  0.285791E+00  0.163690E+07  0.167624E+07  0.100104E+07  0.488982E+00  0.300522E-01 -221.56   -2.32  -83.90   -2.32  -30.44  -83.86
 0.6545  0.230089E+00  0.191099E+07  0.144461E+07  0.121164E+07  0.256826E+00  0.279115E-01 -207.54   -3.85  -81.38   -3.86   89.28  -81.38
 0.7200  0.274201E+00  0.218045E+07  0.122784E+07  0.143125E+07  0.296340E+00  0.257822E-01 -228.29   -6.04  -78.37   -6.06 -256.46  -78.28
 0.7854  0.209500E+00  0.241849E+07  0.103193E+07  0.162448E+07  0.146969E+00  0.236622E-01  -49.54   -8.81  -74.70   -8.81 -163.60  -74.57
Zone t="Diffraction force - beta =  99.000 deg",I=     5,F=POINT
 0.5236  0.216653E+06  0.136789E+07  0.191706E+07  0.799440E+06  0.126619E+06  0.372810E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -86.35
 0.5890  0.256068E+06  0.161675E+07  0.167624E+07  0.988716E+06  0.156598E+06  0.408838E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -85.48
 0.6545  0.298945E+06  0.188746E+07  0.144461E+07  0.119673E+07  0.189543E+06  0.496322E-01 -183.85   -3.85  -81.38   -3.86   -3.86  -85.13
 0.7200  0.341098E+06  0.215360E+07  0.122784E+07  0.141363E+07  0.223897E+06  0.679145E-01 -186.04   -6.04  -78.37   -6.06   -6.06  -85.57
 0.7854  0.378335E+06  0.238872E+07  0.103193E+07  0.160448E+07  0.254125E+06  0.102303E+00 -188.81   -8.81  -74.70   -8.81   -8.81  -86.46
Zone t="Diffraction force - beta = 108.000 deg",I=     5,F=POINT
 0.5236  0.427971E+06  0.131716E+07  0.191706E+07  0.769790E+06  0.250120E+06  0.405389E-01 -181.37   -1.37  -85.75   -1.37   -1.37  -86.62
 0.5890  0.505830E+06  0.155678E+07  0.167624E+07  0.952046E+06  0.309339E+06  0.474748E-01 -182.32   -2.32  -83.90   -2.32   -2.32  -86.13
